Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
futures trader,healthcare,decreasing,moderate,90975.43,associate degree,1,6900,8586,44.85,33.72,australia,59.47
web designer,it,increasing,high,39616.9,bachelor’s degree,6,5087,9144,72.12,68.54,canada,76.9
interior and spatial designer,it,decreasing,high,54538.24,bachelor’s degree,18,1451,8072,68.18,22.52,canada,53.12
claims inspector/assessor,healthcare,decreasing,high,136886.93,phd,15,6592,9304,49.22,2.07,canada,57.48
contracting civil engineer,healthcare,increasing,moderate,73248.68,bachelor’s degree,15,6311,6229,11.04,6.44,uk,42.63
software engineer,education,decreasing,low,133630.49,phd,19,3227,9538,61.25,74.07,uk,25.51
"teacher, secondary school",it,decreasing,low,137190.61,high school,13,613,6010,87.17,91.55,canada,77.28
"designer, industrial/product",retail,increasing,low,78141.84,phd,19,9961,5805,59.12,31.41,usa,48.81
furniture conservator/restorer,finance,decreasing,high,93602.21,master’s degree,6,1239,1240,66.98,86.25,usa,31.13
careers adviser,finance,increasing,low,88021.4,associate degree,17,3602,558,88.97,92.01,australia,20.88
"engineer, technical sales",healthcare,increasing,high,149759.93,high school,3,2698,1796,28.4,88.46,brazil,26.43
sport and exercise psychologist,education,decreasing,high,133350.01,high school,6,1055,6720,64.62,64.59,china,38.09
"engineer, building services",it,decreasing,moderate,57046.53,master’s degree,9,7002,3833,56.24,64.62,australia,79.45
secretary/administrator,finance,decreasing,low,37783.27,associate degree,20,1430,2544,24.68,55.83,germany,79.28
fine artist,entertainment,increasing,low,111573.25,bachelor’s degree,14,332,9301,35.67,19.31,brazil,67.01
firefighter,retail,decreasing,low,125101.58,master’s degree,5,7623,7839,77.16,56.07,uk,53.35
rural practice surveyor,healthcare,increasing,moderate,78555.9,high school,15,6440,6063,63.16,65.18,canada,51.5
surgeon,entertainment,decreasing,high,57840.93,high school,0,4766,4475,97.28,77.36,canada,39.85
"therapist, nutritional",manufacturing,increasing,high,38830.98,bachelor’s degree,8,1421,3464,62.32,91.18,uk,49.99
marketing executive,manufacturing,increasing,high,34195.31,high school,7,6266,1523,77.81,40.13,germany,36.0
"engineer, broadcasting (operations)",it,decreasing,high,129007.26,master’s degree,7,4197,3410,11.41,18.13,uk,70.13
"education officer, museum",it,increasing,high,74659.77,bachelor’s degree,10,8142,3549,95.72,57.84,australia,50.35
hotel manager,healthcare,increasing,moderate,108194.71,master’s degree,17,5661,8924,57.65,79.55,brazil,66.69
"engineer, structural",retail,decreasing,high,96238.71,associate degree,6,3506,4585,99.44,10.14,india,74.95
maintenance engineer,entertainment,increasing,low,98813.17,high school,17,5683,9047,77.29,80.89,uk,31.47
games developer,it,decreasing,moderate,102816.41,high school,10,7818,4898,46.44,51.17,germany,34.7
insurance account manager,education,increasing,moderate,141530.32,bachelor’s degree,8,6783,768,62.83,71.23,germany,64.12
dietitian,healthcare,decreasing,high,58084.59,high school,14,5567,6134,61.8,5.33,canada,43.62
speech and language therapist,transportation,decreasing,high,147476.12,master’s degree,0,6719,2073,58.04,46.54,brazil,77.55
"horticulturist, commercial",it,increasing,high,70111.24,phd,15,6938,327,46.65,96.0,germany,35.54
newspaper journalist,retail,increasing,moderate,92926.28,master’s degree,11,2901,1438,62.89,49.33,india,78.2
art gallery manager,entertainment,decreasing,high,136484.47,phd,20,7269,7547,99.1,10.69,brazil,28.26
"chemist, analytical",finance,decreasing,high,140436.65,master’s degree,14,8895,1545,21.0,46.96,usa,39.65
solicitor,transportation,decreasing,moderate,123443.14,bachelor’s degree,20,7553,7997,61.33,81.07,usa,45.37
chief marketing officer,manufacturing,decreasing,low,122149.84,phd,6,7934,856,61.07,2.57,germany,69.12
computer games developer,finance,increasing,low,95705.6,master’s degree,6,9086,2026,44.85,17.31,australia,40.99
race relations officer,transportation,decreasing,high,60815.59,high school,7,6491,2211,23.31,11.95,canada,64.2
data scientist,healthcare,increasing,high,112981.84,master’s degree,9,6571,7244,55.25,3.04,uk,63.85
games developer,education,increasing,moderate,51916.29,bachelor’s degree,0,4746,4329,90.96,15.48,germany,63.02
mechanical engineer,retail,decreasing,low,38636.4,associate degree,8,458,5784,10.64,47.27,uk,36.08
"programmer, multimedia",entertainment,decreasing,moderate,141094.28,associate degree,20,9498,9638,2.16,57.82,india,73.48
fashion designer,education,decreasing,low,33289.62,associate degree,0,1501,3422,2.98,88.1,canada,32.31
futures trader,healthcare,increasing,moderate,45437.41,associate degree,10,5461,7533,7.51,40.17,india,37.34
early years teacher,manufacturing,increasing,high,53612.62,high school,10,2415,7893,28.13,71.46,uk,42.21
special educational needs teacher,finance,increasing,high,138155.29,bachelor’s degree,2,8961,5259,11.23,46.41,usa,40.36
housing manager/officer,retail,increasing,high,54130.14,phd,10,3257,9086,13.36,20.0,usa,62.3
general practice doctor,finance,decreasing,high,98027.91,high school,10,4876,6809,23.64,65.12,brazil,54.83
"designer, furniture",retail,increasing,low,92615.34,high school,0,1842,5526,76.67,92.4,usa,56.61
forensic scientist,finance,increasing,low,78000.15,phd,15,9308,2964,3.15,11.66,usa,54.1
graphic designer,manufacturing,increasing,high,52962.78,master’s degree,14,8032,6705,68.47,61.45,brazil,42.06
solicitor,healthcare,decreasing,low,93000.93,bachelor’s degree,8,171,6007,32.09,1.21,canada,51.28
"scientist, research (medical)",education,increasing,low,31240.96,associate degree,2,7533,8494,28.73,31.88,brazil,61.93
fish farm manager,entertainment,decreasing,low,75954.35,associate degree,11,4237,7629,15.24,49.67,australia,47.67
"solicitor, scotland",healthcare,increasing,moderate,98096.83,bachelor’s degree,17,9313,9819,5.98,98.85,germany,56.86
dealer,it,decreasing,high,134972.4,master’s degree,12,4217,3021,83.05,80.98,canada,27.52
corporate investment banker,finance,increasing,moderate,72098.57,phd,14,299,6423,67.65,77.49,brazil,48.1
interior and spatial designer,finance,increasing,moderate,105854.08,high school,7,8769,9033,32.54,88.38,brazil,60.79
theme park manager,entertainment,increasing,moderate,87365.42,phd,18,7532,7978,96.68,63.87,uk,38.29
"civil engineer, contracting",healthcare,increasing,high,37142.18,phd,14,7705,2777,49.68,28.28,china,68.37
cytogeneticist,entertainment,decreasing,moderate,76825.55,associate degree,0,1214,7910,95.54,29.35,brazil,66.42
"psychologist, counselling",retail,decreasing,high,92558.77,associate degree,18,1467,5110,59.92,74.93,china,74.47
aeronautical engineer,manufacturing,increasing,moderate,69573.97,phd,9,904,7561,6.38,43.34,usa,20.72
retail banker,healthcare,decreasing,moderate,112836.09,master’s degree,2,7760,5966,7.08,64.59,uk,48.62
"engineer, automotive",it,decreasing,low,44120.92,associate degree,13,5305,6161,70.71,75.45,india,59.94
research scientist (maths),transportation,decreasing,moderate,58610.04,master’s degree,14,4922,3419,94.1,14.03,uk,56.56
orthoptist,transportation,decreasing,moderate,46675.03,phd,1,7934,456,10.41,61.0,china,34.77
fitness centre manager,retail,increasing,moderate,44392.89,phd,20,7046,9318,87.5,53.8,usa,22.84
graphic designer,education,increasing,moderate,114873.9,master’s degree,5,6533,7801,61.19,21.33,china,36.34
hospital pharmacist,it,increasing,moderate,126848.24,high school,19,3099,2035,58.84,26.12,brazil,71.1
quantity surveyor,finance,increasing,low,96056.63,associate degree,20,6183,4038,88.07,90.65,usa,28.47
environmental consultant,finance,increasing,moderate,82711.08,phd,8,7879,4773,57.99,63.78,germany,62.64
"nurse, adult",manufacturing,increasing,moderate,145075.69,master’s degree,19,295,4371,49.47,68.54,germany,63.93
"surveyor, land/geomatics",healthcare,decreasing,high,134858.43,high school,13,5981,3903,90.33,46.37,canada,43.07
wellsite geologist,retail,increasing,moderate,131474.05,associate degree,20,5975,2905,22.93,84.7,india,42.4
pathologist,healthcare,decreasing,high,63561.17,master’s degree,7,3162,4236,19.6,72.55,uk,57.48
systems developer,education,decreasing,moderate,101053.48,phd,1,8104,3439,5.48,92.45,uk,41.63
"accountant, chartered certified",it,increasing,high,33213.85,associate degree,5,6358,9243,90.64,51.02,canada,35.98
education administrator,finance,decreasing,high,84661.83,phd,1,6874,8786,46.88,16.59,china,73.94
colour technologist,retail,decreasing,moderate,71395.44,phd,9,9815,4346,99.57,58.88,usa,23.11
claims inspector/assessor,retail,increasing,low,93044.98,phd,1,3318,3867,53.95,29.56,india,37.68
educational psychologist,it,decreasing,moderate,54733.79,high school,11,8799,9640,10.37,28.79,germany,67.35
clinical cytogeneticist,finance,decreasing,low,102929.4,bachelor’s degree,5,6720,6743,20.25,18.63,china,23.87
mechanical engineer,healthcare,increasing,moderate,127551.39,master’s degree,3,1999,267,32.31,86.77,usa,56.1
metallurgist,transportation,increasing,low,129672.4,phd,5,5188,8477,97.77,2.77,brazil,58.48
"psychotherapist, dance movement",manufacturing,increasing,high,88267.76,high school,5,4309,6613,92.46,37.43,india,68.05
counselling psychologist,entertainment,decreasing,low,62512.7,bachelor’s degree,5,4953,9637,94.05,61.87,uk,57.75
agricultural consultant,finance,increasing,moderate,105885.03,high school,15,9094,8395,82.63,41.01,germany,25.05
writer,healthcare,increasing,high,94016.86,bachelor’s degree,1,9798,9641,55.67,81.01,india,54.35
archivist,healthcare,increasing,high,64676.15,master’s degree,12,9012,5692,53.61,40.88,brazil,55.15
"secretary, company",education,increasing,moderate,87287.62,associate degree,10,2096,3987,43.82,43.19,germany,64.3
patent examiner,retail,decreasing,high,116856.86,associate degree,14,5991,4998,3.91,3.17,uk,49.22
research scientist (life sciences),finance,decreasing,high,106532.02,master’s degree,1,6000,221,37.26,84.43,uk,56.8
surgeon,retail,decreasing,low,78611.94,master’s degree,10,8397,1774,26.83,15.37,india,43.13
systems developer,retail,increasing,moderate,93946.88,phd,16,2389,2317,75.54,65.35,brazil,31.88
media planner,manufacturing,increasing,moderate,32024.72,master’s degree,5,8980,7989,92.87,9.95,brazil,67.78
purchasing manager,entertainment,increasing,high,105325.67,bachelor’s degree,17,8867,8200,70.32,11.79,usa,47.67
mental health nurse,manufacturing,decreasing,moderate,117882.73,master’s degree,17,1004,7012,93.26,24.77,australia,71.26
health and safety adviser,transportation,decreasing,low,89491.43,master’s degree,12,3276,9141,25.33,77.51,uk,61.25
animal technologist,finance,decreasing,high,115358.37,bachelor’s degree,12,9109,5880,74.54,83.59,australia,40.37
careers information officer,entertainment,increasing,high,46836.81,phd,8,3462,5701,87.38,40.16,brazil,78.04
educational psychologist,healthcare,decreasing,moderate,67179.54,master’s degree,3,7961,4959,41.76,97.21,usa,38.01
advice worker,entertainment,increasing,moderate,116761.96,associate degree,13,5827,7483,41.57,12.85,canada,53.25
dietitian,it,increasing,high,44453.55,phd,6,6437,655,60.21,39.88,uk,37.41
writer,entertainment,increasing,moderate,143855.41,master’s degree,7,5941,2543,41.78,16.48,china,25.16
holiday representative,finance,decreasing,moderate,90048.21,high school,1,7289,3042,91.91,65.36,uk,37.86
risk manager,it,increasing,low,42580.82,bachelor’s degree,19,4314,7155,82.14,19.66,usa,77.44
health promotion specialist,education,increasing,low,116336.85,phd,12,386,9190,84.34,26.92,usa,53.09
senior tax professional/tax inspector,entertainment,increasing,low,87473.58,master’s degree,8,766,6080,17.17,10.28,uk,42.4
"surveyor, building",retail,decreasing,moderate,51140.25,high school,18,1969,8692,0.72,26.7,china,61.01
trading standards officer,it,decreasing,low,54425.41,associate degree,19,6536,4781,4.0,33.9,india,40.26
artist,entertainment,increasing,high,37822.42,bachelor’s degree,8,5140,1551,28.08,95.73,india,68.69
hotel manager,it,increasing,low,74716.51,bachelor’s degree,9,6665,9149,98.47,59.31,usa,76.44
air cabin crew,education,decreasing,moderate,68264.61,bachelor’s degree,15,8134,3555,14.29,46.94,uk,65.39
banker,retail,decreasing,low,109365.32,phd,9,3521,4406,84.52,27.14,china,66.89
logistics and distribution manager,manufacturing,increasing,high,113056.09,bachelor’s degree,6,2573,8725,35.37,53.26,china,40.05
"engineer, mining",transportation,decreasing,low,106291.22,associate degree,8,3617,8157,95.28,85.31,usa,68.0
visual merchandiser,it,decreasing,moderate,40598.54,bachelor’s degree,0,3643,2112,40.23,91.25,brazil,26.4
health promotion specialist,healthcare,increasing,low,68439.26,high school,6,3567,1044,97.34,45.09,germany,47.18
stage manager,finance,decreasing,low,125362.24,bachelor’s degree,0,3178,5549,99.69,90.65,india,56.78
architectural technologist,transportation,decreasing,moderate,129487.8,high school,2,1007,4619,60.68,14.02,india,64.32
senior tax professional/tax inspector,retail,decreasing,moderate,50668.18,bachelor’s degree,13,5129,2925,48.26,83.49,brazil,20.36
health service manager,it,decreasing,low,98808.42,master’s degree,1,9312,9552,39.34,72.89,canada,76.09
phytotherapist,finance,increasing,low,60998.73,associate degree,7,6158,8519,0.15,9.59,australia,55.15
dance movement psychotherapist,finance,increasing,moderate,94950.89,associate degree,9,8384,6768,33.7,54.94,usa,57.8
"psychologist, prison and probation services",healthcare,decreasing,moderate,38481.1,high school,18,688,8370,18.45,85.22,brazil,30.09
"engineer, civil (contracting)",transportation,decreasing,moderate,33114.6,phd,13,2317,7198,25.6,60.18,canada,23.64
chartered legal executive (england and wales),retail,increasing,moderate,49732.8,high school,15,9435,2958,19.83,55.5,usa,20.56
archivist,entertainment,decreasing,low,127087.69,bachelor’s degree,1,180,8639,6.4,39.89,brazil,51.04
psychotherapist,it,decreasing,moderate,36881.21,phd,11,9917,9245,67.86,67.88,germany,68.56
it trainer,it,decreasing,moderate,61544.71,high school,10,6146,5788,56.44,55.16,uk,68.94
web designer,transportation,decreasing,low,34805.63,associate degree,15,7749,974,74.72,62.78,canada,66.21
"programmer, systems",transportation,increasing,moderate,149139.72,associate degree,5,2357,6777,16.32,11.26,usa,31.64
advertising account executive,retail,decreasing,moderate,143309.37,bachelor’s degree,9,1317,8207,71.1,88.91,china,47.32
psychotherapist,entertainment,increasing,low,61492.31,high school,11,1202,869,15.76,8.9,uk,57.27
psychiatrist,entertainment,increasing,moderate,111176.8,phd,15,3291,4216,31.11,2.32,canada,32.13
firefighter,entertainment,increasing,high,38262.78,phd,15,5855,1919,91.76,73.37,brazil,31.38
risk manager,entertainment,decreasing,moderate,134718.78,high school,8,5022,7459,56.51,11.1,india,39.35
cytogeneticist,finance,decreasing,high,105741.33,bachelor’s degree,14,4193,6242,44.21,24.92,australia,39.46
"engineer, agricultural",finance,decreasing,high,105366.26,associate degree,19,6352,1037,61.71,67.3,usa,47.93
best boy,manufacturing,decreasing,moderate,132364.53,master’s degree,6,5272,8142,64.87,95.38,canada,46.33
estate agent,healthcare,increasing,moderate,128630.76,bachelor’s degree,19,4392,1444,31.74,92.18,germany,72.45
pensions consultant,it,increasing,moderate,93049.4,master’s degree,1,7391,8707,59.43,30.29,canada,51.67
actuary,manufacturing,decreasing,high,45523.95,high school,11,4889,7523,52.44,40.41,australia,60.88
animal nutritionist,retail,decreasing,low,111338.78,phd,6,6438,7341,96.16,47.54,brazil,40.42
dispensing optician,education,increasing,high,63366.85,master’s degree,17,660,5751,28.33,60.79,india,58.81
